
---------- Begin Simulation Statistics ----------
simSeconds                                   0.166511                       # Number of seconds simulated (Second)
simTicks                                 166511323752                       # Number of ticks simulated (Tick)
finalTick                                166511323752                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2021.21                       # Real time elapsed on the host (Second)
hostTickRate                                 82382070                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  268786984                       # Number of bytes of host memory used (Byte)
simInsts                                     67408771                       # Number of instructions simulated (Count)
simOps                                      116912147                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    33351                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      57843                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        316561453                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.696146                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.212941                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       263772058                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      164                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      206142865                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96349                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            146860067                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         293395156                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           316499582                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.651321                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.149110                       # Number of insts issued each cycle (Count)
system.ruby.RequestType.LD.miss_latency_hist_seqr::samples       757885                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::mean    55.006139                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::gmean    23.290692                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::stdev   130.481688                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr |      696212     91.86%     91.86% |        4124      0.54%     92.41% |        5167      0.68%     93.09% |       36750      4.85%     97.94% |        6595      0.87%     98.81% |        7213      0.95%     99.76% |        1797      0.24%    100.00% |          24      0.00%    100.00% |           3      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::total       757885                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::samples      2414912                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::mean     4.642176                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::gmean     2.636326                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::stdev    19.330710                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr |     2407723     99.70%     99.70% |        2398      0.10%     99.80% |         133      0.01%     99.81% |           6      0.00%     99.81% |          73      0.00%     99.81% |          24      0.00%     99.81% |        4554      0.19%    100.00% |           1      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::total      2414912                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::samples      2095948                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::mean     2.000122                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::gmean     2.000085                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::stdev     0.016374                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr |           0      0.00%      0.00% |           0      0.00%      0.00% |     2095806     99.99%     99.99% |          44      0.00%    100.00% |          93      0.00%    100.00% |           0      0.00%    100.00% |           3      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           2      0.00%    100.00% (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::total      2095948                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::samples       318964                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::mean    22.003405                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::gmean    16.188597                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::stdev    49.818356                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr |      311775     97.75%     97.75% |        2398      0.75%     98.50% |         133      0.04%     98.54% |           6      0.00%     98.54% |          73      0.02%     98.56% |          24      0.01%     98.57% |        4554      1.43%    100.00% |           1      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::total       318964                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::bucket_size          128                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::max_bucket         1279                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::samples     12985809                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::mean     2.023203                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::gmean     2.000941                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::stdev     2.974112                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr |    12985098     99.99%     99.99% |          58      0.00%     99.99% |          72      0.00%    100.00% |         580      0.00%    100.00% |           0      0.00%    100.00% |           1      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::total     12985809                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::samples     12984064                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::mean            2                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::gmean     2.000000                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr |           0      0.00%      0.00% |           0      0.00%      0.00% |    12984064    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::total     12984064                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::bucket_size          128                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::max_bucket         1279                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::samples         1745                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::mean   174.667049                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::gmean    66.283029                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::stdev   189.829824                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr |        1034     59.26%     59.26% |          58      3.32%     62.58% |          72      4.13%     66.70% |         580     33.24%     99.94% |           0      0.00%     99.94% |           1      0.06%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::total         1745                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::samples         5261                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::mean     3.389470                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::gmean     2.964155                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::stdev    13.241821                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr |        5256     99.90%     99.90% |           0      0.00%     99.90% |           0      0.00%     99.90% |           0      0.00%     99.90% |           0      0.00%     99.90% |           0      0.00%     99.90% |           5      0.10%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::total         5261                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::bucket_size            8                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::max_bucket           79                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::samples         5249                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::mean     2.961326                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::gmean     2.943115                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::stdev     0.749892                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr |        5248     99.98%     99.98% |           0      0.00%     99.98% |           0      0.00%     99.98% |           0      0.00%     99.98% |           0      0.00%     99.98% |           0      0.00%     99.98% |           1      0.02%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::total         5249                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::samples           12                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::mean   190.666667                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::gmean    66.847207                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::stdev   212.674029                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr |           7     58.33%     58.33% |           0      0.00%     58.33% |           0      0.00%     58.33% |           0      0.00%     58.33% |           0      0.00%     58.33% |           0      0.00%     58.33% |           5     41.67%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::total           12                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::samples           19                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::mean    29.578947                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::gmean     5.605174                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::stdev    97.912271                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr |          18     94.74%     94.74% |           0      0.00%     94.74% |           0      0.00%     94.74% |           0      0.00%     94.74% |           0      0.00%     94.74% |           0      0.00%     94.74% |           1      5.26%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::total           19                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::samples           11                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::mean            2                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::gmean            2                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr |           0      0.00%      0.00% |           0      0.00%      0.00% |          11    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::total           11                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr::samples            8                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr::mean    67.500000                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr::gmean    23.119734                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr::stdev   147.692731                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr |           7     87.50%     87.50% |           0      0.00%     87.50% |           0      0.00%     87.50% |           0      0.00%     87.50% |           0      0.00%     87.50% |           0      0.00%     87.50% |           1     12.50%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.miss_latency_hist_seqr::total            8                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::samples           19                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::mean            2                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::gmean            2                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr |           0      0.00%      0.00% |           0      0.00%      0.00% |          19    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::total           19                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::samples           19                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::mean            2                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::gmean            2                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr |           0      0.00%      0.00% |           0      0.00%      0.00% |          19    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::total           19                       (Unspecified)
system.ruby.clk_domain.clock                      500                       # Clock period in ticks (Tick)
system.ruby.crossbars.transDist::ReadReq       809022                       # Transaction distribution (Count)
system.ruby.crossbars.transDist::ReadResp       809019                       # Transaction distribution (Count)
system.ruby.crossbars.transDist::WriteReq       284084                       # Transaction distribution (Count)
system.ruby.crossbars.transDist::WriteResp       284084                       # Transaction distribution (Count)
system.ruby.crossbars.pktCount_system.ruby.snf.cntrl.memory::system.mem_ctrls1.port      2186209                       # Packet count per connected requestor and responder (Count)
system.ruby.crossbars.pktCount_system.ruby.snf.cntrl.memory::total      2186209                       # Packet count per connected requestor and responder (Count)
system.ruby.crossbars.pktSize_system.ruby.snf.cntrl.memory::system.mem_ctrls1.port     69958592                       # Cumulative packet size per connected requestor and responder (Byte)
system.ruby.crossbars.pktSize_system.ruby.snf.cntrl.memory::total     69958592                       # Cumulative packet size per connected requestor and responder (Byte)
system.ruby.crossbars.power_state.pwrStateResidencyTicks::UNDEFINED 166511323752                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.crossbars.reqLayer1.occupancy   1114721000                       # Layer occupancy (ticks) (Tick)
system.ruby.crossbars.reqLayer1.utilization          0.0                       # Layer utilization (Ratio)
system.ruby.crossbars.respLayer0.occupancy   2164589500                       # Layer occupancy (ticks) (Tick)
system.ruby.crossbars.respLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.ruby.hnf.cntrl.avg_size               1.277000                       # Avg. number of slots allocated (Unspecified)
system.ruby.hnf.cntrl.avg_util               0.039906                       # Avg. utilization (Unspecified)
system.ruby.hnf.cntrl.avg_reserved           0.026263                       # Avg. number of slots reserved (Unspecified)
system.ruby.hnf.cntrl.avg_size               0.062879                       # Avg. number of slots allocated (Unspecified)
system.ruby.hnf.cntrl.avg_util               0.001965                       # Avg. utilization (Unspecified)
system.ruby.hnf.cntrl.avg_reserved                  0                       # Avg. number of slots reserved (Unspecified)
system.ruby.hnf.cntrl.avg_size                      0                       # Avg. number of slots allocated (Unspecified)
system.ruby.hnf.cntrl.avg_util                      0                       # Avg. utilization (Unspecified)
system.ruby.hnf.cntrl.avg_reserved                  0                       # Avg. number of slots reserved (Unspecified)
system.ruby.hnf.cntrl.avg_size                      0                       # Avg. number of slots allocated (Unspecified)
system.ruby.hnf.cntrl.avg_util                      0                       # Avg. utilization (Unspecified)
system.ruby.hnf.cntrl.avg_reserved                  0                       # Avg. number of slots reserved (Unspecified)
system.ruby.hnf.cntrl.avg_size                      0                       # Avg. number of slots allocated (Unspecified)
system.ruby.hnf.cntrl.avg_util                      0                       # Avg. utilization (Unspecified)
system.ruby.hnf.cntrl.avg_reserved                  0                       # Avg. number of slots reserved (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp::bucket_size           32                       (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp::max_bucket          159                       (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp::samples       284084                       (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp::mean    32.267798                       (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp::gmean    23.065103                       (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp::stdev    28.611567                       (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp |      182988     64.41%     64.41% |       56495     19.89%     84.30% |       29416     10.35%     94.65% |       14598      5.14%     99.79% |         587      0.21%    100.00% (Unspecified)
system.ruby.hnf.cntrl.outTransLatHist.SendWriteNoSnp::total       284084                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared::bucket_size          256                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared::max_bucket         1279                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared::samples       806767                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared::mean   471.874463                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared::gmean   468.944966                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared::stdev    46.656536                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared |        2301      0.29%      0.29% |      650730     80.66%     80.94% |      153736     19.06%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared::total       806767                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared.retries        53080                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared.I.RU.total       804465                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared.UD.UD_RU.total         2190                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadShared.UC.UC_RU.total          112                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC::bucket_size          128                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC::max_bucket          639                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC::samples         4554                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC::mean   431.140097                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC::gmean   431.139624                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC::stdev     0.642348                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC |           0      0.00%      0.00% |           0      0.00%      0.00% |           0      0.00%      0.00% |        4554    100.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC::total         4554                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.ReadUnique_PoC.I.RU.total         4554                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull::bucket_size           64                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull::max_bucket          319                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull::samples       285232                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull::mean    49.253555                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull::gmean    37.835293                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull::stdev    36.325635                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull |      205046     71.89%     71.89% |       68370     23.97%     95.86% |       11793      4.13%     99.99% |          23      0.01%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull::total       285232                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull.retries         1722                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull.UD_RU.UD.total         1145                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteBackFull.RU.UD.total       284087                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull::bucket_size           64                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull::max_bucket          319                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull::samples       493321                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull::mean    57.902329                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull::gmean    47.840107                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull::stdev    33.674826                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull |      293653     59.53%     59.53% |      192487     39.02%     98.54% |        7181      1.46%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull::total       493321                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull.retries         9613                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull.UC_RU.UC.total          101                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.WriteEvictFull.RU.UC.total       493220                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction::bucket_size           32                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction::max_bucket          159                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction::samples       695387                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction::mean    30.112737                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction::gmean     8.554566                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction::stdev    34.564971                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction |      411303     59.15%     59.15% |           0      0.00%     59.15% |      266982     38.39%     97.54% |       16200      2.33%     99.87% |         902      0.13%    100.00% (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction::total       695387                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction.UC.I.total       411298                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction.UC_RU.RU.total            5                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction.UD.I.total       283039                       (Unspecified)
system.ruby.hnf.cntrl.inTransLatHist.LocalHN_Eviction.UD_RU.RU.total         1045                       (Unspecified)
system.ruby.hnf.cntrl.cache.numDataArrayReads       286386                       # Number of data array reads (Unspecified)
system.ruby.hnf.cntrl.cache.numDataArrayWrites       778553                       # Number of data array writes (Unspecified)
system.ruby.hnf.cntrl.cache.streamingHnfFillBypasses            0                       # Streaming HNF cache misses that bypassed an LLC fill (Unspecified)
system.ruby.hnf.cntrl.cache.numTagArrayReads      2285264                       # Number of tag array reads (Unspecified)
system.ruby.hnf.cntrl.cache.numTagArrayWrites      2285261                       # Number of tag array writes (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::0        49139                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::1        47785                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::2        49125                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::3        45074                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::4        49139                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::5        48822                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::6        49125                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::7        45148                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::8        49132                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::9        46143                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::10        49107                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.ruby.hnf.cntrl.cache.m_allocsByWay::11        45055                       # Lines placed in each way (way-partitioning audit) (Unspecified)
